Region,ML Cluster,Latitude,Longitude,Lodgements,BMEs,Payments,Value Paid (R),Conversion Rate,Value Per Payment (R)
South Africa (aggregate),aggregate,,,79761,44976,12193,1196531716,0.1529,98132.68
Eastern Cape,anchor,-31.5889,28.7844,36503,18853,6405,626818910,0.1755,97864.0
Lesotho,anchor,-29.3167,27.4833,57565,23274,10633,1003860744,0.1847,94409.93
Free State,emerging,-29.0852,26.1596,17195,8750,2651,274121909,0.1542,103403.21
Mozambique,emerging,-25.9692,32.5732,11739,6395,1833,193813114,0.1561,105735.47
North West,emerging,-25.8656,25.6403,9270,5975,1395,130612003,0.1505,93628.68
Gauteng,emerging,-26.2041,28.0473,7095,4168,739,68240690,0.1042,92341.94
eSwatini,emerging,-26.3054,31.1367,6681,3327,1426,127310397,0.2134,89277.98
KwaZulu-Natal,emerging,-29.8587,31.0218,6283,3216,558,58043007,0.0888,104019.73
Botswana,small,-24.6282,25.9231,5961,3899,1975,210348595,0.3313,106505.62
Mpumalanga,emerging,-25.4753,30.9694,1392,631,197,16530635,0.1415,83911.85
Limpopo,emerging,-23.9045,29.4689,871,542,119,9576705,0.1366,80476.51
Zimbabwe,stalled,-17.8292,31.0522,834,32,0,0,0.0,0
Western Cape,emerging,-33.9249,18.4241,796,352,90,8579205,0.1131,95324.5
Northern Cape,emerging,-28.7282,24.7499,356,197,39,4008653,0.1096,102785.97
Malawi,stalled,-13.9626,33.7741,0,0,0,0,0,0
