PlantTechnologyKey,PlantKey,TechnologyKey,InstalledCapacity,CapacityUnit,IsPrimary
1,1,1,64.0,MWp,True
2,2,1,12.0,MWp,True
3,3,3,705.0,MW,True
4,4,1,68.0,MWp,True
5,5,1,18.0,MWp,True
6,5,5,7.0,MWh,False
7,6,1,52.0,MWp,True
8,7,4,85.0,MW,True
9,8,1,48.0,MWp,True
10,9,2,135.0,MW,True
11,10,2,28.0,MW,True
12,11,1,10.0,MWp,True
13,12,3,210.0,MW,True
14,13,1,50.0,MWp,True
15,14,1,40.0,MWp,True
16,15,3,185.0,MW,True
17,16,1,30.0,MWp,True
18,17,1,24.0,MWp,True
19,18,3,440.0,MW,True
20,19,6,33.0,MW,True
