AgreementKey,PlantKey,CounterpartyOrganisationKey,AgreementType,TermYears,StartDate,EndDate,AgreementStatus,IsBrochureSourced
1,1,5,Power Purchase Agreement,25.0,,,Active/Unknown,True
2,2,4,Power Purchase Agreement,20.0,,,Active/Unknown,True
3,3,6,Concession Agreement,20.0,,,Active/Unknown,True
4,4,4,Power Purchase Agreement,20.0,,,Active/Unknown,True
5,6,4,Power Purchase Agreement,20.0,,,Active/Unknown,True
6,7,7,Tolling Agreement,20.0,,,Active/Unknown,True
7,8,4,Power Purchase Agreement,20.0,,,Active/Unknown,True
8,11,4,Power Purchase Agreement,20.0,,,Active/Unknown,True
9,12,9,Power Purchase Agreement,20.0,,,Active/Unknown,True
10,13,10,Power Purchase Agreement,20.0,,,Active/Unknown,True
11,14,11,Power Purchase Agreement,25.0,,,Active/Unknown,True
12,15,12,Power Purchase Agreement,20.0,,,Active/Unknown,True
13,16,4,Power Purchase Agreement,20.0,,,Active/Unknown,True
14,17,5,Power Purchase Agreement,25.0,,,Active/Unknown,True
15,18,11,Tolling Agreement,25.0,,,Active/Unknown,True
