DateKey,PlantKey,EnergyChargedMWh,EnergyDischargedMWh,RoundTripEfficiencyPct,MinimumStateOfChargePct,MaximumStateOfChargePct,IsSynthetic
20240101,5,3.82,3.326,87.056,15.51,92.83,1
20240102,5,4.218,3.843,91.098,15.1,89.41,1
20240103,5,5.193,4.364,84.041,17.33,91.67,1
20240104,5,5.252,4.748,90.41,17.57,91.36,1
20240105,5,4.458,3.882,87.076,20.51,97.17,1
20240106,5,6.019,5.139,85.37,18.6,97.0,1
20240107,5,5.321,4.378,82.273,20.2,98.51,1
20240108,5,6.737,6.153,91.335,25.61,83.81,1
20240109,5,4.724,4.248,89.926,17.51,94.17,1
20240110,5,4.015,3.618,90.117,18.14,88.67,1
20240111,5,6.182,5.214,84.342,23.84,91.2,1
20240112,5,3.518,2.895,82.276,15.65,84.07,1
20240113,5,6.521,5.589,85.712,18.27,90.85,1
20240114,5,5.827,5.278,90.571,21.0,91.39,1
20240115,5,5.773,4.795,83.064,12.0,90.49,1
20240116,5,3.628,3.263,89.95,29.55,87.2,1
20240117,5,5.291,4.563,86.246,11.56,91.47,1
20240118,5,2.731,2.371,86.844,10.97,97.23,1
20240119,5,5.98,5.229,87.443,18.37,92.95,1
20240120,5,5.429,4.957,91.293,20.55,91.14,1
20240121,5,6.061,5.482,90.442,17.02,90.35,1
20240122,5,3.316,3.099,93.453,10.98,93.23,1
20240123,5,3.492,3.057,87.539,17.04,97.37,1
20240124,5,5.225,4.486,85.856,24.51,94.58,1
20240125,5,5.448,4.392,80.629,12.71,91.39,1
20240126,5,5.305,4.68,88.211,16.34,98.85,1
20240127,5,4.587,4.02,87.63,13.14,94.87,1
20240128,5,3.3,2.848,86.31,23.2,94.34,1
20240129,5,4.388,3.94,89.775,17.71,94.03,1
20240130,5,4.402,3.975,90.288,22.94,99.66,1
20240131,5,5.943,5.594,94.117,21.51,89.21,1
20240201,5,6.248,5.674,90.818,14.02,89.6,1
20240202,5,6.46,5.765,89.247,18.1,93.22,1
20240203,5,6.312,5.739,90.922,22.56,91.26,1
20240204,5,4.714,4.271,90.616,24.18,97.42,1
20240205,5,2.429,2.175,89.541,14.41,97.91,1
20240206,5,6.887,6.189,89.862,22.79,95.83,1
20240207,5,2.887,2.626,90.986,15.76,93.97,1
20240208,5,6.448,5.308,82.316,25.27,89.55,1
20240209,5,5.711,4.933,86.387,17.19,89.15,1
20240210,5,4.97,4.322,86.969,18.96,92.06,1
20240211,5,4.233,3.684,87.017,18.5,87.8,1
20240212,5,4.597,3.934,85.571,24.52,93.64,1
20240213,5,4.729,4.24,89.669,18.46,96.46,1
20240214,5,5.723,4.662,81.469,13.12,89.67,1
20240215,5,6.343,5.726,90.273,13.75,87.67,1
20240216,5,3.005,2.685,89.357,16.51,93.28,1
20240217,5,3.598,3.176,88.281,16.7,100.0,1
20240218,5,6.022,5.268,87.475,21.63,96.37,1
20240219,5,4.608,4.161,90.286,18.95,97.28,1
20240220,5,4.43,4.003,90.363,11.66,99.01,1
20240221,5,3.126,2.895,92.611,24.83,90.32,1
20240222,5,3.838,3.338,86.961,22.28,96.65,1
20240223,5,3.286,2.962,90.157,20.79,89.82,1
20240224,5,4.72,4.147,87.854,10.26,90.02,1
20240225,5,3.89,3.519,90.453,14.45,94.32,1
20240226,5,5.976,5.347,89.476,13.48,94.99,1
20240227,5,6.829,6.136,89.856,15.56,98.71,1
20240228,5,2.477,2.121,85.599,13.08,96.75,1
20240229,5,6.466,5.578,86.266,19.91,94.14,1
20240301,5,4.304,3.767,87.528,28.53,88.64,1
