MonthDateKey,PlantKey,PlannedProgressPct,ActualProgressPct,ScheduleVariancePct,ApprovedBudgetZAR,ActualCostToDateZAR,CostVarianceZAR,IsSynthetic
20240101,18,8.33,13.52,5.18,18000000000,2424310384.3,924310384.3,1
20240201,18,16.67,17.79,1.12,18000000000,3296061739.77,296061739.77,1
20240301,18,25.0,26.21,1.21,18000000000,4704933404.39,204933404.39,1
20240401,18,33.33,34.13,0.8,18000000000,6114592781.18,114592781.18,1
20240501,18,41.67,41.48,-0.19,18000000000,7251899058.85,-248100941.15,1
20240601,18,50.0,49.48,-0.52,18000000000,8638504742.99,-361495257.01,1
20240701,18,58.33,58.32,-0.01,18000000000,10391436964.37,-108563035.63,1
20240801,18,66.67,67.67,1.0,18000000000,11725173655.37,-274826344.63,1
20240901,18,75.0,73.14,-1.86,18000000000,12862920568.7,-637079431.3,1
20241001,18,83.33,83.3,-0.03,18000000000,14902851776.79,-97148223.21,1
20241101,18,91.67,93.86,2.19,18000000000,16912427841.41,412427841.41,1
20241201,18,100.0,100.0,0.0,18000000000,17525180035.89,-474819964.11,1
20240101,19,5.56,4.98,-0.58,2500000000,120296134.17,-18592754.71,1
20240201,19,11.11,12.1,0.99,2500000000,308744779.23,30967001.46,1
20240301,19,16.67,13.65,-3.02,2500000000,341664176.34,-75002490.33,1
20240401,19,22.22,22.01,-0.21,2500000000,566899356.15,11343800.6,1
20240501,19,27.78,25.78,-2.0,2500000000,632221571.69,-62222872.75,1
20240601,19,33.33,33.86,0.53,2500000000,836208862.17,2875528.84,1
20240701,19,38.89,38.02,-0.87,2500000000,939672205.17,-32550017.05,1
20240801,19,44.44,45.49,1.05,2500000000,1169541149.7,58430038.59,1
20240901,19,50.0,49.84,-0.16,2500000000,1237446575.41,-12553424.59,1
20241001,19,55.56,56.88,1.33,2500000000,1429457013.26,40568124.37,1
20241101,19,61.11,61.43,0.32,2500000000,1579243020.15,51465242.37,1
20241201,19,66.67,64.53,-2.13,2500000000,1602713358.62,-63953308.04,1
20250101,19,72.22,70.26,-1.96,2500000000,1732959162.31,-72596393.25,1
20250201,19,77.78,75.23,-2.55,2500000000,1862919331.59,-81525112.85,1
20250301,19,83.33,84.07,0.74,2500000000,1963584890.44,-119748442.89,1
20250401,19,88.89,88.24,-0.65,2500000000,2200947387.71,-21274834.51,1
20250501,19,94.44,93.89,-0.55,2500000000,2248997485.93,-112113625.18,1
20250601,19,100.0,100.0,0.0,2500000000,2558904541.74,58904541.74,1
