MonthDateKey,PlantKey,CurrencyCode,EnergySoldMWh,AverageTariffPerKWhLocal,RevenueLocalCurrency,FXRateToZAR,RevenueZAR,SettlementCollectionPct,IsSynthetic
20240101,1,USD,8719.193,0.084963,740812.69,18.608883,13785696.61,99.604,1
20240201,1,USD,8669.631,0.085603,742150.43,18.805865,13956780.75,98.293,1
20240301,1,USD,10137.482,0.084782,859475.1,19.106789,16421809.31,96.653,1
20240401,1,USD,10767.44,0.084379,908541.04,19.154659,17402793.77,97.894,1
20240501,1,USD,11892.447,0.085546,1017348.83,19.321736,19656945.58,98.246,1
20240601,1,USD,12239.54,0.086166,1054630.38,18.739202,19762931.7,98.62,1
20240701,1,USD,13342.261,0.08357,1115011.4,18.437371,20557878.79,100.0,1
20240801,1,USD,12807.21,0.084343,1080195.35,18.384912,19859296.37,99.165,1
20240901,1,USD,11960.177,0.082771,989957.77,17.816405,17637488.63,99.424,1
20241001,1,USD,10742.472,0.082219,883234.44,17.976607,15877558.34,100.0,1
20241101,1,USD,9436.051,0.086164,813048.11,18.009664,14642723.21,98.239,1
20241201,1,USD,9023.944,0.085971,775800.79,18.154595,14084349.15,96.979,1
20250101,1,USD,8592.893,0.084656,727440.82,18.546035,13491142.92,99.394,1
20250201,1,USD,8232.254,0.085974,707761.3,18.738172,13262152.98,98.491,1
20250301,1,USD,10041.768,0.085536,858937.24,18.949235,16276203.59,99.797,1
20250401,1,USD,10910.486,0.086229,940801.73,18.710328,17602709.03,96.246,1
20250501,1,USD,12132.178,0.084987,1031074.99,18.9123,19499999.52,98.522,1
20250601,1,USD,12593.785,0.082874,1043699.38,18.819065,19641446.45,97.233,1
20250701,1,USD,13102.829,0.087545,1147091.43,18.395892,21101770.13,97.629,1
20250801,1,USD,13578.609,0.08428,1144407.5,18.228535,20860872.17,97.54,1
20250901,1,USD,11885.093,0.085703,1018583.47,18.339733,18680548.9,98.835,1
20251001,1,USD,10768.679,0.088295,950824.29,17.883021,17003610.75,97.856,1
20251101,1,USD,9892.551,0.08589,849672.23,18.173604,15441606.65,96.236,1
