MonthDateKey,CurrencyCode,CurrencyName,RateToZAR,IsSynthetic
20240101,ZAR,South African Rand,1.0,1
20240101,USD,US Dollar,18.608883,1
20240101,EUR,Euro,20.105576,1
20240101,GBP,Pound Sterling,23.803073,1
20240101,EGP,Egyptian Pound,0.378142,1
20240101,KES,Kenyan Shilling,0.139675,1
20240101,MZN,Mozambican Metical,0.291257,1
20240101,XAF,Central African CFA Franc,0.030005,1
20240101,TZS,Tanzanian Shilling,0.0071,1
20240101,XOF,West African CFA Franc,0.030304,1
20240201,ZAR,South African Rand,1.0,1
20240201,USD,US Dollar,18.805865,1
20240201,EUR,Euro,20.04547,1
20240201,GBP,Pound Sterling,23.724532,1
20240201,EGP,Egyptian Pound,0.382245,1
20240201,KES,Kenyan Shilling,0.141737,1
20240201,MZN,Mozambican Metical,0.294888,1
20240201,XAF,Central African CFA Franc,0.030647,1
20240201,TZS,Tanzanian Shilling,0.007409,1
20240201,XOF,West African CFA Franc,0.030638,1
20240301,ZAR,South African Rand,1.0,1
20240301,USD,US Dollar,19.106789,1
20240301,EUR,Euro,20.462467,1
20240301,GBP,Pound Sterling,23.967481,1
20240301,EGP,Egyptian Pound,0.389819,1
20240301,KES,Kenyan Shilling,0.143826,1
20240301,MZN,Mozambican Metical,0.300471,1
20240301,XAF,Central African CFA Franc,0.030928,1
20240301,TZS,Tanzanian Shilling,0.007302,1
20240301,XOF,West African CFA Franc,0.030329,1
20240401,ZAR,South African Rand,1.0,1
20240401,USD,US Dollar,19.154659,1
20240401,EUR,Euro,20.852225,1
20240401,GBP,Pound Sterling,24.078958,1
20240401,EGP,Egyptian Pound,0.392464,1
20240401,KES,Kenyan Shilling,0.144868,1
20240401,MZN,Mozambican Metical,0.294192,1
20240401,XAF,Central African CFA Franc,0.030416,1
20240401,TZS,Tanzanian Shilling,0.007469,1
20240401,XOF,West African CFA Franc,0.031011,1
20240501,ZAR,South African Rand,1.0,1
20240501,USD,US Dollar,19.321736,1
20240501,EUR,Euro,20.459535,1
20240501,GBP,Pound Sterling,23.925467,1
20240501,EGP,Egyptian Pound,0.384718,1
20240501,KES,Kenyan Shilling,0.144363,1
20240501,MZN,Mozambican Metical,0.291565,1
20240501,XAF,Central African CFA Franc,0.030488,1
20240501,TZS,Tanzanian Shilling,0.007409,1
20240501,XOF,West African CFA Franc,0.030582,1
20240601,ZAR,South African Rand,1.0,1
20240601,USD,US Dollar,18.739202,1
20240601,EUR,Euro,20.077604,1
20240601,GBP,Pound Sterling,23.267591,1
20240601,EGP,Egyptian Pound,0.38836,1
20240601,KES,Kenyan Shilling,0.141851,1
20240601,MZN,Mozambican Metical,0.295335,1
20240601,XAF,Central African CFA Franc,0.030432,1
20240601,TZS,Tanzanian Shilling,0.007303,1
20240601,XOF,West African CFA Franc,0.030499,1
