IncidentKey,DateKey,PlantKey,IncidentType,Severity,LostWorkDays,InvestigationStatus,IsSynthetic
1,20240131,1,First Aid Case,Low,0,Closed,1
2,20241111,1,Near Miss,Low,0,Closed,1
3,20250417,3,Medical Treatment Case,Medium,0,Closed,1
4,20241005,3,Near Miss,Low,0,Closed,1
5,20250705,3,Near Miss,Low,0,Closed,1
6,20250604,4,First Aid Case,Low,0,Closed,1
7,20241014,4,Medical Treatment Case,Medium,0,Closed,1
8,20251201,5,Near Miss,Low,0,Closed,1
9,20241022,6,Near Miss,Low,0,Closed,1
10,20250322,6,Near Miss,Low,0,Closed,1
11,20250312,6,Near Miss,Low,0,Closed,1
12,20240118,7,First Aid Case,Low,0,Closed,1
13,20250804,8,Environmental Event,Medium,0,Open,1
14,20240903,8,Environmental Event,Medium,0,Closed,1
15,20250212,9,Near Miss,Low,0,Closed,1
16,20240203,10,Near Miss,Low,0,Closed,1
17,20250319,10,Near Miss,Low,0,Closed,1
18,20240108,11,Lost Time Injury,High,1,Closed,1
19,20250122,11,Near Miss,Low,0,Closed,1
20,20250412,12,Near Miss,Low,0,Closed,1
21,20250430,13,Medical Treatment Case,Medium,0,Closed,1
22,20250714,13,Near Miss,Low,0,Closed,1
23,20250312,14,Near Miss,Low,0,Open,1
24,20251207,14,First Aid Case,Low,0,Closed,1
25,20250108,14,Near Miss,Low,0,Closed,1
26,20240723,15,Near Miss,Low,0,Closed,1
27,20251107,16,Medical Treatment Case,Medium,0,Closed,1
28,20240829,16,First Aid Case,Low,0,Closed,1
29,20250321,16,Near Miss,Low,0,Open,1
30,20250115,17,First Aid Case,Low,0,Closed,1
31,20250924,17,Near Miss,Low,0,Closed,1
32,20251204,17,Near Miss,Low,0,Closed,1
33,20251027,18,Near Miss,Low,0,Closed,1
34,20251006,18,Near Miss,Low,0,Closed,1
35,20240910,19,First Aid Case,Low,0,Closed,1
