WorkOrderKey,PlantKey,AssetKey,OpenedDate,ClosedDate,WorkOrderType,Priority,WorkOrderStatus,LabourHours,MaterialCostZAR,LabourCostZAR,TotalMaintenanceCostZAR,IsSynthetic
1,1,3,2024-04-03,2024-04-11,Preventive,Low,Completed,18.31,1185.18,11432.14,12617.32,1
2,1,2,2025-02-11,2025-02-17,Corrective,Low,Completed,19.32,7013.76,10601.57,17615.33,1
3,1,2,2024-12-06,,Preventive,High,In Progress,1.0,2057.58,697.05,2754.63,1
4,1,1,2025-09-30,2025-10-06,Corrective,Critical,Completed,9.26,2307.78,3967.97,6275.76,1
5,1,2,2024-06-30,2024-07-10,Inspection,Medium,Closed,4.35,8860.85,2640.86,11501.71,1
6,1,1,2025-03-26,2025-04-05,Preventive,Medium,Closed,11.37,2212.97,8134.74,10347.72,1
7,1,3,2025-11-29,2025-12-02,Predictive,Medium,Completed,12.74,6244.6,8873.55,15118.15,1
8,1,2,2024-04-23,,Corrective,High,In Progress,10.26,1949.74,7094.49,9044.23,1
9,1,2,2025-04-26,2025-05-04,Preventive,Medium,Completed,6.53,30257.53,3848.06,34105.59,1
10,1,3,2024-06-12,2024-06-23,Preventive,High,Completed,1.0,4108.81,646.18,4754.99,1
11,1,1,2024-03-19,,Preventive,Medium,In Progress,11.59,2306.65,7282.85,9589.5,1
12,1,2,2024-02-07,2024-02-08,Preventive,High,Completed,12.76,8350.38,8421.89,16772.27,1
13,1,2,2025-07-19,2025-07-23,Preventive,Medium,Completed,11.47,505.09,8134.0,8639.09,1
14,1,2,2024-01-06,2024-01-09,Corrective,Low,Closed,10.01,15618.66,8070.96,23689.62,1
15,1,3,2024-07-11,2024-07-14,Predictive,Medium,Closed,10.41,1734.5,5792.58,7527.09,1
16,1,3,2025-04-11,2025-04-14,Preventive,Medium,Completed,7.46,4530.92,4876.74,9407.66,1
17,1,3,2025-03-07,2025-03-14,Corrective,Medium,Completed,21.88,984.52,14020.03,15004.56,1
18,2,4,2024-02-20,2024-02-24,Preventive,Critical,Completed,11.87,11919.34,6970.97,18890.3,1
19,2,5,2024-10-18,2024-10-26,Corrective,Medium,Closed,10.03,3945.01,6025.56,9970.57,1
20,2,5,2025-04-08,2025-04-10,Preventive,Medium,Completed,16.05,5274.54,8557.27,13831.81,1
21,2,4,2025-07-25,2025-07-28,Corrective,Low,Completed,3.02,5180.14,1585.45,6765.6,1
22,2,6,2025-01-13,2025-01-18,Preventive,High,Completed,10.09,1011.96,6111.44,7123.4,1
23,2,6,2024-03-05,,Inspection,Low,In Progress,24.53,4819.84,12398.24,17218.08,1
24,2,4,2025-12-06,2025-12-11,Preventive,High,Completed,24.76,6348.79,17699.57,24048.36,1
25,2,5,2024-08-24,2024-08-28,Preventive,Low,Closed,23.72,3586.78,12467.59,16054.37,1
26,3,7,2024-09-16,2024-09-17,Preventive,Low,Closed,1.2,6156.1,654.96,6811.06,1
27,3,9,2025-04-07,2025-04-11,Predictive,Low,Completed,19.19,3921.28,10533.2,14454.48,1
28,3,7,2024-10-10,2024-10-11,Preventive,Medium,Completed,17.99,3600.73,13153.45,16754.18,1
29,3,7,2024-09-22,,Preventive,High,In Progress,16.56,4342.79,8511.89,12854.68,1
30,3,9,2024-07-29,,Corrective,Medium,In Progress,12.44,1172.71,7420.97,8593.68,1
31,3,9,2024-05-18,2024-05-26,Corrective,Low,Completed,11.88,6708.8,9487.48,16196.27,1
32,3,7,2024-08-14,2024-08-18,Preventive,High,Completed,19.89,20217.61,13244.83,33462.43,1
33,3,7,2024-08-09,,Inspection,High,In Progress,10.51,1727.03,6196.69,7923.72,1
34,4,12,2024-05-27,,Inspection,Medium,Open,10.18,8544.03,6918.29,15462.32,1
35,4,11,2025-09-30,2025-10-01,Corrective,Medium,Completed,13.8,6151.99,8748.93,14900.92,1
36,4,12,2025-05-02,,Corrective,High,In Progress,5.82,3760.34,3564.85,7325.19,1
37,4,11,2025-04-23,2025-04-28,Corrective,High,Completed,1.0,5569.56,663.95,6233.51,1
38,4,11,2024-06-20,,Preventive,High,Open,20.23,11182.51,12269.61,23452.12,1
39,4,11,2025-09-29,,Inspection,Critical,In Progress,13.2,7147.7,8355.41,15503.11,1
40,4,12,2024-08-01,2024-08-06,Preventive,High,Completed,12.25,11764.53,8317.55,20082.08,1
41,4,12,2025-05-31,2025-06-03,Preventive,Medium,Completed,21.73,12889.55,17314.56,30204.11,1
42,4,12,2024-09-10,,Corrective,High,In Progress,3.67,6747.78,2281.38,9029.16,1
43,4,10,2024-07-07,2024-07-11,Preventive,Low,Completed,10.31,7605.85,6207.05,13812.9,1
44,4,10,2024-03-15,2024-03-21,Preventive,Medium,Completed,9.9,5912.48,6874.88,12787.36,1
45,4,10,2024-06-24,2024-07-04,Preventive,Critical,Closed,23.07,3094.39,18182.83,21277.22,1
46,4,11,2024-09-30,,Corrective,Low,Open,14.47,2545.95,9537.97,12083.91,1
47,4,12,2025-09-01,2025-09-04,Preventive,Medium,Completed,8.4,2173.47,5419.22,7592.69,1
48,4,10,2024-03-22,2024-03-23,Preventive,Medium,Completed,19.24,8061.8,12707.67,20769.47,1
49,4,10,2025-07-29,2025-07-31,Preventive,High,Completed,10.67,12416.06,6775.22,19191.28,1
50,5,15,2025-01-22,2025-01-23,Predictive,Medium,Closed,12.23,3369.25,7559.65,10928.9,1
51,5,15,2025-02-28,,Predictive,Medium,Open,12.81,2042.14,7005.1,9047.24,1
52,5,13,2025-05-29,,Corrective,Medium,In Progress,12.48,3808.84,9042.91,12851.75,1
53,5,13,2024-11-10,2024-11-16,Preventive,Medium,Closed,10.92,5343.97,8681.35,14025.32,1
54,5,14,2024-03-20,2024-03-24,Preventive,Low,Completed,7.46,876.16,4653.49,5529.65,1
55,5,16,2025-03-30,2025-04-03,Preventive,High,Completed,6.94,5257.31,4964.73,10222.04,1
56,5,15,2025-11-23,2025-11-29,Predictive,Medium,Closed,11.95,7812.58,5893.22,13705.79,1
57,5,16,2024-08-08,,Preventive,Low,In Progress,5.72,5144.68,4154.75,9299.43,1
58,5,16,2025-04-01,2025-04-04,Preventive,Medium,Completed,9.17,3389.91,4790.62,8180.53,1
59,5,16,2025-04-09,2025-04-19,Preventive,High,Closed,8.67,8209.62,6442.52,14652.14,1
60,5,14,2025-01-17,,Predictive,Medium,Open,12.16,4286.1,8176.1,12462.2,1
61,6,18,2024-11-21,2024-11-29,Preventive,High,Closed,10.69,13552.01,5891.27,19443.28,1
62,6,18,2024-02-23,2024-03-05,Corrective,Medium,Completed,6.83,2563.37,4574.29,7137.67,1
63,6,17,2024-07-21,2024-08-07,Preventive,Medium,Completed,19.78,2985.89,9849.83,12835.72,1
64,6,17,2024-05-22,2024-05-31,Predictive,High,Completed,20.6,2375.06,16763.73,19138.79,1
65,6,19,2024-09-05,2024-09-06,Preventive,Low,Completed,8.89,14185.89,6574.05,20759.94,1
66,6,18,2024-10-21,,Predictive,Medium,Open,17.62,4217.93,13868.16,18086.09,1
67,6,19,2024-07-30,2024-07-31,Preventive,Medium,Completed,7.55,1196.47,4954.81,6151.27,1
68,6,17,2024-12-31,2025-01-06,Preventive,Medium,Closed,19.47,5398.67,12002.59,17401.25,1
69,6,19,2024-05-05,2024-05-13,Corrective,High,Completed,12.15,5050.72,7171.53,12222.25,1
70,6,19,2025-06-05,2025-06-11,Corrective,Medium,Completed,13.7,10939.1,8592.35,19531.45,1
71,7,20,2024-12-20,2024-12-28,Inspection,High,Completed,16.64,4791.11,9972.72,14763.82,1
72,7,20,2025-03-03,2025-03-05,Corrective,Low,Completed,18.42,1548.68,11257.69,12806.37,1
73,7,20,2025-03-25,2025-03-30,Inspection,High,Completed,20.17,24756.61,12380.32,37136.93,1
74,7,21,2025-08-12,2025-08-20,Inspection,Medium,Completed,20.27,9679.28,14873.13,24552.41,1
75,7,20,2025-01-07,,Preventive,Low,In Progress,12.57,6965.21,7839.84,14805.04,1
76,7,22,2025-08-28,2025-08-30,Corrective,High,Completed,2.86,4057.12,2224.59,6281.7,1
77,7,21,2024-12-15,,Preventive,Medium,In Progress,16.13,4838.28,8245.32,13083.6,1
78,7,22,2025-06-01,2025-06-06,Preventive,High,Closed,9.23,5081.95,6314.23,11396.18,1
79,7,22,2025-02-27,2025-03-02,Preventive,High,Completed,10.52,4920.89,7651.13,12572.01,1
80,7,21,2025-01-04,2025-01-10,Inspection,Low,Closed,12.86,6659.93,7850.83,14510.76,1
81,8,23,2024-05-19,2024-05-24,Preventive,Medium,Completed,16.44,4095.21,9207.97,13303.18,1
82,8,24,2024-04-24,2024-04-26,Predictive,Critical,Completed,2.31,7030.45,1334.72,8365.17,1
83,8,25,2024-03-28,2024-04-07,Corrective,Low,Closed,7.11,4471.5,4808.75,9280.26,1
84,8,23,2024-09-25,,Corrective,Medium,In Progress,11.62,387.69,7053.2,7440.89,1
85,8,24,2024-05-27,,Inspection,Medium,Open,19.24,4134.22,14051.13,18185.35,1
86,8,25,2024-07-17,2024-08-05,Predictive,Medium,Completed,16.55,4911.57,11540.43,16452.0,1
87,8,24,2024-01-20,2024-02-02,Preventive,Medium,Closed,2.21,2383.45,1229.17,3612.61,1
88,8,25,2025-12-27,2026-01-03,Inspection,Medium,Completed,5.02,1739.65,3699.93,5439.58,1
89,8,25,2025-08-14,2025-08-24,Preventive,Medium,Closed,13.82,5649.3,8811.3,14460.6,1
90,8,23,2024-12-05,2024-12-07,Corrective,Medium,Completed,16.04,2415.73,10293.31,12709.04,1
91,8,23,2025-12-08,2025-12-15,Inspection,Medium,Completed,12.78,1333.5,8022.14,9355.65,1
92,8,24,2025-11-26,2025-12-08,Preventive,Low,Closed,14.17,6062.26,8453.01,14515.27,1
93,8,24,2025-11-20,2025-11-25,Corrective,Low,Completed,10.59,1349.08,6560.25,7909.33,1
94,8,24,2025-02-15,2025-02-23,Preventive,Medium,Completed,10.96,2365.59,6164.8,8530.39,1
95,8,24,2025-04-19,2025-04-25,Corrective,Low,Completed,11.11,7978.79,7117.61,15096.41,1
96,9,27,2025-10-18,2025-10-22,Corrective,Medium,Closed,9.24,466.06,4962.49,5428.55,1
97,9,28,2024-03-11,2024-03-19,Preventive,High,Completed,13.94,3592.72,7902.56,11495.28,1
98,9,26,2025-12-19,2025-12-22,Preventive,High,Completed,8.16,1144.41,4989.23,6133.65,1
99,9,27,2024-08-06,,Corrective,Medium,Open,19.69,2836.06,13791.56,16627.62,1
100,9,28,2024-12-03,2024-12-04,Preventive,Low,Completed,18.02,4316.95,13001.41,17318.36,1
101,9,28,2025-11-06,2025-11-09,Corrective,Medium,Completed,10.12,1637.3,6784.64,8421.94,1
102,9,28,2024-09-28,,Inspection,Medium,In Progress,1.0,5654.46,543.9,6198.36,1
103,9,26,2024-04-12,2024-04-22,Preventive,Low,Completed,19.3,5334.84,13496.14,18830.98,1
104,9,26,2025-06-06,,Preventive,High,In Progress,16.21,9453.01,9682.17,19135.18,1
105,9,28,2025-02-13,2025-02-20,Corrective,High,Completed,15.38,3019.63,11081.08,14100.71,1
106,9,28,2025-07-03,2025-07-08,Corrective,High,Closed,19.29,5658.41,10713.36,16371.77,1
107,9,27,2025-11-30,2025-12-01,Corrective,Medium,Completed,9.52,5739.29,5399.88,11139.16,1
108,10,30,2025-12-28,2026-01-03,Preventive,Medium,Completed,3.46,9435.0,2707.69,12142.68,1
109,10,29,2024-10-10,2024-10-11,Preventive,Medium,Closed,6.79,3435.59,4369.98,7805.57,1
110,10,30,2024-08-21,2024-08-29,Preventive,Medium,Completed,27.67,5182.89,16946.19,22129.08,1
