OutageKey,PlantKey,AssetKey,OutageStartDateTime,OutageEndDateTime,OutageType,DurationHours,EstimatedEnergyLostMWh,RootCauseCategory,IsSynthetic
1,1,2,2024-02-05T15:00:00,2024-02-05T22:35:46.670737061,Planned,7.596,150.407,Routine maintenance,1
2,1,3,2025-03-07T14:00:00,2025-03-07T19:50:55.692124238,Forced,5.849,115.806,Equipment trip / protection event,1
3,1,1,2024-05-12T16:00:00,2024-05-13T00:06:42.632543003,Planned,8.112,160.614,Routine maintenance,1
4,1,3,2025-01-25T20:00:00,2025-01-26T14:17:36.932402902,Planned,18.294,362.213,Routine maintenance,1
5,2,6,2025-09-17T22:00:00,2025-09-17T22:30:00,Forced,0.5,1.65,Equipment trip / protection event,1
6,2,5,2024-06-23T11:00:00,2024-06-23T11:46:25.828884846,Forced,0.774,2.554,Equipment trip / protection event,1
7,2,4,2024-11-24T16:00:00,2024-11-25T04:50:12.336636991,Planned,12.837,42.361,Routine maintenance,1
8,2,4,2024-07-26T15:00:00,2024-07-26T22:18:14.889127768,Planned,7.304,24.104,Routine maintenance,1
9,2,4,2025-10-09T05:00:00,2025-10-09T09:10:28.259968492,Forced,4.175,13.776,Equipment trip / protection event,1
10,3,8,2025-02-09T15:00:00,2025-02-09T19:15:25.098324241,Planned,4.257,1972.894,Routine maintenance,1
11,3,7,2024-12-26T20:00:00,2024-12-26T23:58:38.005740925,Planned,3.977,1843.244,Routine maintenance,1
12,3,8,2024-12-22T22:00:00,2024-12-23T04:24:40.048227294,Forced,6.411,2971.236,Equipment trip / protection event,1
13,3,9,2024-03-13T06:00:00,2024-03-13T07:41:35.963661754,Forced,1.693,784.771,Equipment trip / protection event,1
14,3,7,2025-08-14T10:00:00,2025-08-14T15:32:16.959274345,Planned,5.538,2566.607,Routine maintenance,1
15,4,11,2024-06-15T22:00:00,2024-06-16T04:32:06.764909236,Forced,6.535,129.397,Equipment trip / protection event,1
16,4,10,2024-05-25T21:00:00,2024-05-26T00:47:42.369882694,Planned,3.795,75.143,Routine maintenance,1
17,4,11,2024-07-25T16:00:00,2024-07-25T22:50:39.475520910,Planned,6.844,135.517,Routine maintenance,1
18,4,12,2024-10-28T04:00:00,2024-10-28T04:51:21.581037185,Planned,0.856,16.949,Routine maintenance,1
19,4,11,2024-05-20T07:00:00,2024-05-20T09:12:41.242110695,Forced,2.211,43.787,Equipment trip / protection event,1
20,4,10,2024-02-26T03:00:00,2024-02-26T06:43:03.827961808,Planned,3.718,73.611,Routine maintenance,1
21,4,11,2025-09-15T16:00:00,2025-09-16T03:57:34.776494655,Planned,11.96,236.801,Routine maintenance,1
22,5,14,2025-05-06T22:00:00,2025-05-07T00:46:22.041051469,Forced,2.773,15.805,Equipment trip / protection event,1
23,5,15,2024-03-23T17:00:00,2024-03-23T22:36:17.152683198,Forced,5.605,31.947,Equipment trip / protection event,1
24,5,14,2024-12-09T18:00:00,2024-12-10T02:56:44.522755335,Forced,8.946,50.99,Equipment trip / protection event,1
25,5,13,2024-10-31T06:00:00,2024-10-31T17:42:02.257890380,Planned,11.701,66.694,Routine maintenance,1
26,5,14,2024-07-18T01:00:00,2024-07-18T05:26:41.625009554,Planned,4.445,25.336,Routine maintenance,1
27,6,18,2025-07-19T09:00:00,2025-07-19T11:37:26.347677475,Forced,2.624,39.36,Equipment trip / protection event,1
28,6,19,2024-12-13T07:00:00,2024-12-13T13:27:46.254259795,Planned,6.463,96.943,Routine maintenance,1
29,6,18,2024-12-20T10:00:00,2024-12-20T14:56:05.512700586,Planned,4.935,74.023,Routine maintenance,1
30,6,19,2024-06-28T03:00:00,2024-06-28T03:49:47.704614876,Forced,0.83,12.449,Equipment trip / protection event,1
31,6,18,2024-07-18T11:00:00,2024-07-18T17:37:22.621987767,Forced,6.623,99.344,Equipment trip / protection event,1
32,6,17,2025-12-07T11:00:00,2025-12-07T21:40:01.911070526,Planned,10.667,160.008,Routine maintenance,1
33,7,22,2025-11-04T04:00:00,2025-11-04T05:11:23.994282992,Forced,1.19,68.068,Equipment trip / protection event,1
34,7,20,2024-05-04T07:00:00,2024-05-04T13:13:22.496654147,Forced,6.223,355.951,Equipment trip / protection event,1
35,7,22,2025-03-08T00:00:00,2025-03-08T01:17:19.424733470,Planned,1.289,73.715,Routine maintenance,1
36,7,22,2024-08-11T12:00:00,2024-08-11T17:27:23.931305657,Forced,5.457,312.12,Equipment trip / protection event,1
37,7,22,2025-02-01T14:00:00,2025-02-01T16:25:53.749383592,Forced,2.432,139.087,Equipment trip / protection event,1
38,7,21,2024-03-23T17:00:00,2024-03-23T23:21:24.371950172,Planned,6.357,363.607,Routine maintenance,1
39,7,20,2025-05-17T13:00:00,2025-05-17T15:49:43.757259612,Forced,2.829,161.809,Equipment trip / protection event,1
40,7,20,2025-12-02T17:00:00,2025-12-02T21:42:18.844983290,Forced,4.705,269.139,Equipment trip / protection event,1
41,7,22,2025-12-08T08:00:00,2025-12-08T11:18:40.665882084,Planned,3.311,189.406,Routine maintenance,1
42,8,25,2024-02-28T01:00:00,2024-02-28T02:14:37.336178998,Planned,1.244,18.656,Routine maintenance,1
