DateKey,PlantKey,GrossGenerationMWh,NetGenerationMWh,EnergyExportedMWh,AvailabilityPct,CapacityFactorPct,CurtailmentPct,PlannedDowntimeHours,ForcedDowntimeHours,Scope1EmissionsTonnesCO2e,CO2AvoidedTonnes,IsSynthetic
20240101,1,302.368,297.833,296.344,95.94,19.897,0.0,0.0,0.0,0.0,222.258,1
20240102,1,259.652,255.306,254.03,97.692,16.779,0.176,0.0,0.0,0.0,190.522,1
20240103,1,327.758,317.156,315.57,98.667,20.971,1.761,0.0,0.0,0.0,236.678,1
20240104,1,273.467,266.294,264.962,98.053,17.607,1.14,0.0,0.0,0.0,198.722,1
20240105,1,288.74,282.458,281.046,96.479,18.894,0.686,0.0,0.0,0.0,210.784,1
20240106,1,289.006,273.938,272.569,98.298,18.561,3.77,0.304,0.0,0.0,204.427,1
20240107,1,282.656,271.303,269.946,96.732,18.447,2.555,0.0,0.0,0.0,202.46,1
20240108,1,289.666,279.352,277.956,96.24,19.001,2.092,0.0,0.0,0.0,208.467,1
20240109,1,309.649,300.544,299.041,96.502,20.257,1.462,0.0,0.0,0.0,224.281,1
20240110,1,323.61,312.516,310.953,97.835,20.882,1.958,0.0,0.184,0.0,233.215,1
20240111,1,252.123,246.181,244.95,97.02,16.406,0.87,0.0,0.0,0.0,183.713,1
20240112,1,336.337,328.647,327.004,96.201,22.072,0.798,0.0,0.0,0.0,245.253,1
20240113,1,304.07,297.168,295.683,98.379,19.513,0.782,0.0,0.0,0.0,221.762,1
20240114,1,286.552,282.254,280.843,98.787,18.313,0.0,0.0,0.0,0.0,210.632,1
20240115,1,271.347,265.44,264.112,98.246,17.436,0.687,0.0,0.0,0.0,198.084,1
20240116,1,304.203,298.424,296.932,98.438,19.509,0.406,0.0,0.0,0.0,222.699,1
20240117,1,284.219,278.173,276.782,96.927,18.512,0.637,0.0,0.0,0.0,207.587,1
20240118,1,299.328,291.648,290.19,98.221,19.239,1.082,0.0,0.0,0.0,217.642,1
20240119,1,283.956,279.697,278.299,97.38,18.409,0.0,0.0,0.0,0.0,208.724,1
20240120,1,269.031,257.685,256.396,98.1,17.313,2.759,0.0,0.0,0.0,192.297,1
20240121,1,289.826,285.308,283.881,98.606,18.556,0.06,0.0,0.0,0.0,212.911,1
20240122,1,290.972,282.351,280.939,98.76,18.6,1.485,0.0,0.0,0.0,210.704,1
20240123,1,273.634,265.543,264.215,95.331,18.121,1.479,0.0,0.0,0.0,198.161,1
20240124,1,305.764,296.915,295.431,99.903,19.322,1.415,0.0,0.0,0.0,221.573,1
20240125,1,310.927,297.21,295.724,99.539,19.72,2.956,0.0,0.0,0.0,221.793,1
20240126,1,260.223,256.319,255.038,96.54,17.017,0.0,0.0,0.0,0.0,191.278,1
20240127,1,316.429,306.77,305.236,97.167,20.559,1.576,0.0,0.0,0.0,228.927,1
20240128,1,332.212,327.188,325.552,100.0,20.973,0.013,0.0,0.0,0.0,244.164,1
20240129,1,236.368,231.739,230.58,97.902,15.242,0.465,0.0,0.0,0.0,172.935,1
20240130,1,300.162,295.659,294.181,99.099,19.122,0.0,0.0,0.0,0.0,220.636,1
20240131,1,247.813,235.988,234.808,96.771,16.167,3.322,0.0,0.0,0.0,176.106,1
20240201,1,308.809,304.049,302.529,98.974,19.698,0.042,0.0,0.0,0.0,226.897,1
20240202,1,286.052,281.433,280.026,100.0,18.059,0.116,0.0,0.0,0.0,210.02,1
20240203,1,331.145,324.827,323.203,98.077,21.315,0.414,0.0,0.0,0.0,242.402,1
20240204,1,312.843,303.815,302.296,96.818,20.399,1.407,0.0,0.0,0.0,226.722,1
20240205,1,350.629,335.813,334.134,97.74,22.648,2.767,0.0,0.0,0.0,250.6,1
20240206,1,307.246,293.428,291.961,96.884,20.021,3.043,0.0,0.0,0.0,218.971,1
20240207,1,302.817,288.526,287.083,95.663,19.984,3.268,0.0,0.0,0.0,215.312,1
20240208,1,296.403,283.53,282.112,96.925,19.306,2.886,0.0,0.0,0.0,211.584,1
20240209,1,279.692,272.731,271.367,98.465,17.933,1.004,0.0,0.0,0.0,203.525,1
20240210,1,321.848,317.02,315.435,99.611,20.398,0.0,0.0,0.0,0.0,236.576,1
20240211,1,299.903,293.044,291.579,96.235,19.674,0.799,0.0,0.0,0.0,218.684,1
20240212,1,327.151,316.488,314.906,95.51,21.624,1.786,0.0,0.0,0.0,236.179,1
20240213,1,290.262,277.889,276.499,97.008,18.89,2.805,0.0,0.0,0.0,207.375,1
20240214,1,299.242,294.753,293.279,96.456,19.586,0.0,0.253,0.0,0.0,219.959,1
20240215,1,311.773,306.556,305.023,97.842,20.117,0.176,0.0,0.0,0.0,228.767,1
20240216,1,292.968,287.636,286.197,95.305,19.407,0.325,0.0,0.385,0.0,214.648,1
20240217,1,279.509,273.762,272.393,94.279,18.717,0.565,0.0,0.0,0.0,204.295,1
20240218,1,282.421,267.739,266.4,97.359,18.313,3.755,0.0,0.0,0.0,199.8,1
20240219,1,266.181,262.189,260.878,95.855,17.531,0.0,0.0,0.0,0.0,195.658,1
20240220,1,301.623,294.408,292.936,98.012,19.428,0.906,0.0,0.0,0.0,219.702,1
20240221,1,338.823,333.74,332.072,98.152,21.793,0.0,0.0,0.0,0.0,249.054,1
20240222,1,304.381,294.521,293.048,97.1,19.79,1.766,0.0,0.0,0.0,219.786,1
20240223,1,346.518,337.224,335.538,97.733,22.384,1.2,0.0,0.0,0.0,251.654,1
20240224,1,293.443,278.313,276.921,97.975,18.908,3.712,0.0,0.0,0.0,207.691,1
20240225,1,367.396,356.401,354.619,98.079,23.649,1.515,0.0,0.0,0.0,265.964,1
20240226,1,322.731,317.89,316.3,94.883,21.473,0.0,0.0,0.0,0.0,237.225,1
20240227,1,303.58,295.81,294.33,97.896,19.577,1.076,0.0,0.0,0.0,220.748,1
20240228,1,310.919,303.451,301.933,97.729,20.085,0.916,0.0,0.0,0.0,226.45,1
20240229,1,326.23,316.216,314.634,97.944,21.028,1.594,0.0,0.0,0.0,235.976,1
20240301,1,366.468,356.905,355.12,95.199,24.302,1.126,0.0,0.0,0.0,266.34,1
20240302,1,285.708,272.195,270.834,96.998,18.595,3.279,0.0,0.0,0.0,203.125,1
20240303,1,362.271,349.01,347.265,98.159,23.3,2.194,0.0,0.0,0.0,260.448,1
20240304,1,313.648,308.943,307.399,97.6,20.288,0.0,0.0,0.0,0.0,230.549,1
20240305,1,348.201,331.369,329.712,97.214,22.612,3.385,0.0,0.0,0.0,247.284,1
20240306,1,340.192,333.153,331.487,95.142,22.573,0.578,0.0,0.0,0.0,248.615,1
20240307,1,378.821,368.515,366.672,98.456,24.29,1.239,0.0,0.0,0.0,275.004,1
20240308,1,284.179,272.677,271.313,96.493,18.593,2.586,0.0,0.0,0.0,203.485,1
20240309,1,335.651,325.007,323.382,94.063,22.528,1.697,0.0,0.0,0.0,242.537,1
20240310,1,370.042,364.492,362.669,94.405,24.746,0.0,0.0,0.0,0.0,272.002,1
20240311,1,380.923,367.042,365.207,98.053,24.526,2.177,0.0,0.0,0.0,273.905,1
20240312,1,367.828,361.716,359.908,97.849,23.732,0.164,0.0,0.0,0.0,269.931,1
20240313,1,326.549,321.651,320.043,97.271,21.194,0.0,0.0,0.0,0.0,240.032,1
20240314,1,336.65,326.816,325.182,99.722,21.312,1.443,0.0,0.0,0.0,243.886,1
20240315,1,362.724,349.386,347.639,97.517,23.482,2.21,0.0,0.0,0.0,260.729,1
20240316,1,363.213,346.584,344.851,100.0,22.93,3.125,0.0,0.0,0.0,258.638,1
20240317,1,321.792,316.965,315.38,97.662,20.802,0.0,0.0,0.0,0.0,236.535,1
20240318,1,280.248,271.816,270.457,96.309,18.37,1.532,0.0,0.0,0.0,202.843,1
20240319,1,280.723,271.67,270.312,94.035,18.847,1.751,0.0,0.0,0.0,202.734,1
20240320,1,364.76,352.692,350.928,97.707,23.568,1.836,0.0,0.0,0.0,263.196,1
20240321,1,316.352,309.34,307.793,97.231,20.541,0.728,0.0,0.0,0.0,230.845,1
20240322,1,358.827,353.445,351.677,97.101,23.329,0.0,0.429,0.0,0.0,263.758,1
20240323,1,282.195,275.576,274.198,94.0,18.953,0.858,0.0,0.0,0.0,205.649,1
20240324,1,357.541,351.203,349.447,99.134,22.769,0.277,0.0,0.0,0.0,262.086,1
20240325,1,393.422,387.52,385.583,97.638,25.438,0.0,0.0,0.0,0.0,289.187,1
20240326,1,314.652,309.932,308.382,96.963,20.487,0.0,0.0,0.0,0.0,231.287,1
